score,review_at,content
3.9,2025/02,近くに引っ越してきたので２週続けての2回目の来店です。混んで入れなくても、順番待ちは電話で呼び出してくれるので、寒い外で待たなくても大丈夫なところがまた良い。前回美味しかった鯛カマ焼きと天丼はコスパ最高だったのでリピート。店員さんもテキパキしていて居心地も良いので何度も何度もリピートしたい思えるお店です。
4.0,2025/02,三連休初日、急に思いたって17:00頃伺いました。すでにかなり賑わっており、その後も予約のお客さんでいっぱいでした。行くなら予約必須ですね。全部美味しかったですが、島寿司とイカ焼きは本当に美味しかったです。
3.5,2025/02,19時に予約して店に入ると既に満員でした。どれを食べても美味しく、価格もそこそこでコスパは言うことなしです。特に〆にいただいた島寿司は漬け具合も程よく必ず食べてもらいたい一品ですね。また、食べに行きます。
5.0,2025/02,島寿司美味しかったし、アシタバの天ぷらもとても美味しかった！厚揚げ豆腐が周りがガリガリで美味しかったです。鶏の唐揚げは凄いボリュームで、二人で食べるには頼みすぎたかも。八丈島焼酎もとても美味しかったです！
3.6,2025/01,最近新小岩の良さを感じている。地方の繁華街みたいな栄え方してて飲み屋の数は無限大。住んでみたい街。八丈島郷土料理のお店。昼飲み出来るみたいだけどずーっと満席。週末は予約必須。雰囲気◎。料理◎。昼からみんなで集まりたいお店でした。#新小岩#新小岩グルメ #源八船頭 #八丈島グルメ #島ずし#瓶ビール#サッポロ赤星
3.5,2025/01,本日２件目のお店です。島寿司に誘われながら腹一杯で新小岩ハイボールを飲みながら明日葉の天ぷらをいただきました。すごい賑わってて周りを見るとカウンター席、自分意外全員女性客なんだよねー。女性に人気なんですかね？明日葉の天ぷら、品切れでハーフのみになってましたが十二分です！！ご馳走さまでしたー。
5.0,2025/01,リーズナブルなのに美味しかったです。刺身もお寿司も厚切りなのに新鮮でした。お寿司系のメニューが多いので、結構お腹に溜まります。次はもっと色々なメニューを試してみたいです。結構多くの人で賑わっていたので、予約は必須かなという印象でした。
3.6,2025/01,週末18時少し前に行きました。週末は予約をしないと入るのは難しそうかも…八丈島料理をメインとしており、個人的には島寿司が美味しかったです！焼酎も種類があり人気がある理由もわかります。魚系と揚げ物をオススメします！
3.5,2025/01,地元友人たちとの新年会として利用しました。地元では割と人気で有名店のようですね。お魚も新鮮で美味しかったですし、価格も質の割にはリーズナブルな気はします。奥の座敷席に座りましたが、どことなく昭和ライクな趣があって素敵な空間でした。人気店なのでお席の時間制限がありましたが、良い時間を過ごせました。ごちそうさまでした。
4.0,2024/12,10数年ぶりに先輩に連れて行ってもらった。月曜から満席からの、早くも売り切れ続出。まずは目当ての明日葉の天ぷら、島寿司を確保。大島の焼酎を堪能しながら、刺身盛り合わせ、島らっきょの天ぷらなどを食す。昔の記憶が蘇る。天かす巻き寿司で〆。ご馳走様でした
